nazw;X;Y;z_top;z_bot;g_wer
LK86181W/W51/4+016/MK/4w;6512322.01;5690094.19;120.82999999999998;120.32999999999998;Sa6
LK86181W/W51/4+016/MK/4w;6512322.01;5690094.19;120.32999999999998;118.42999999999998;Sa6
LK86181W/W51/4+016/MK/4w;6512322.01;5690094.19;118.42999999999999;115.22999999999999;Si3
LK86181W/W51/4+016/MK/4w;6512322.01;5690094.19;125.82999999999998;123.32999999999998;Sa5
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;144.85;144.45;Hu
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;144.45;143.14999999999998;Pt
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;143.15;142.75;Sa1b
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;142.75;141.65;Sa2
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;139.45;137.75;Si3
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;137.75;134.65;Si3
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;134.65;133.25;Si3
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;133.25;132.15;Sa3
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;132.15;124.65;Sa3
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;124.64999999999999;120.74999999999999;Gr3
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;120.75;119.85;Sa6
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;119.85;119.85;
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;141.65;140.05;Sa1b
LK86181W/W51/4+016/MK/1w;6512361.87;5690061.55;140.04999999999998;139.45;Sa2
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;145.18;144.58;Hu
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;144.58;143.48000000000002;Pt
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;143.48000000000002;143.18;orSa1b
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;143.18;142.38;Sa2
LK86181W/W51/4+016/MK/2w;6512343.75;5690070.74;139.88;136.68;Si3
